DateTime,Altitude,Pressure,Temperature,Humidity
12/22/2022 19:47,32.77,100938,21.6,53
12/22/2022 19:47,32.94,100919,21.6,53
12/22/2022 19:47,32.77,100928,21.6,53
12/22/2022 19:47,32.44,100931,21.6,53
12/22/2022 19:48,32.35,100933,21.6,53
12/22/2022 19:48,33.52,100937,21.6,53
12/22/2022 19:48,32.77,100931,21.6,53
12/22/2022 19:48,32.94,100931,21.6,53
12/22/2022 19:48,33.27,100926,21.6,53
12/22/2022 19:48,33.11,100932,21.6,53
12/22/2022 19:48,33.11,100930,21.6,53
12/22/2022 19:48,33.44,100928,21.5,53
12/22/2022 19:48,33.27,100931,21.6,53
12/22/2022 19:49,32.86,100934,21.6,53
12/22/2022 19:49,32.6,100933,21.6,53
12/22/2022 19:49,33.11,100926,21.6,53
12/22/2022 19:49,33.02,100935,21.6,53
12/22/2022 19:49,33.27,100927,21.6,53
12/22/2022 19:49,33.19,100927,21.6,53
12/22/2022 19:49,34.36,100924,21.6,53
12/22/2022 19:49,33.52,100922,21.6,53
12/22/2022 19:49,33.61,100923,22.7,53
12/22/2022 19:50,33.52,100921,24.5,53
12/22/2022 19:50,33.44,100919,26.1,53
12/22/2022 19:50,33.36,100924,25.6,53
12/22/2022 19:50,33.11,100922,25.3,53
12/22/2022 19:50,33.11,100931,24.9,53
12/22/2022 19:50,32.86,100928,24.6,53
12/22/2022 19:50,33.52,100922,24.4,53
12/22/2022 19:50,33.77,100920,24.1,53
12/22/2022 19:50,33.44,100924,24,53
12/22/2022 19:51,33.52,100919,23.7,53
12/22/2022 19:51,33.94,100924,23.6,53
12/22/2022 19:51,33.44,100924,23.4,53
12/22/2022 19:51,33.86,100918,23.3,53
12/22/2022 19:51,33.19,100918,23.2,53
12/22/2022 19:51,33.86,100918,23.1,53
12/22/2022 19:51,33.61,100918,23,53
12/22/2022 19:51,33.52,100922,22.9,53
12/22/2022 19:51,33.52,100922,22.8,53
12/22/2022 19:52,33.77,100924,22.7,53
12/22/2022 19:52,33.36,100919,22.6,53
12/22/2022 19:52,33.36,100921,22.6,53
12/22/2022 19:52,33.19,100923,22.5,53
12/22/2022 19:52,33.52,100917,22.5,53
12/22/2022 19:52,33.44,100915,22.4,53
12/22/2022 19:52,33.61,100927,22.3,53
12/22/2022 19:52,33.27,100927,22.3,53
12/22/2022 19:53,33.86,100923,22.2,53
12/22/2022 19:53,33.94,100924,22.2,53
12/22/2022 19:53,33.52,100925,22.2,53
12/22/2022 19:53,33.02,100917,22.1,53
12/22/2022 19:53,34.28,100925,22,53
12/22/2022 19:53,33.27,100922,22,53
12/22/2022 19:53,33.69,100915,22,53
12/22/2022 19:53,33.27,100924,21.9,53
12/22/2022 19:53,33.86,100917,21.9,53
12/22/2022 19:54,33.61,100924,21.9,53
12/22/2022 19:54,33.36,100916,21.9,53
12/22/2022 19:54,33.36,100921,21.8,53
12/22/2022 19:54,33.52,100926,21.8,53
12/22/2022 19:54,33.52,100922,21.8,53
12/22/2022 19:54,33.69,100927,21.7,53
12/22/2022 19:54,34.02,100917,21.7,53
12/22/2022 19:54,33.36,100920,21.7,53
12/22/2022 19:55,34.36,100912,21.6,53
12/22/2022 19:55,34.69,100919,21.6,53
12/22/2022 19:55,33.69,100922,21.6,53
12/22/2022 19:55,33.77,100922,21.6,53
12/22/2022 19:55,34.11,100921,21.5,53
12/22/2022 19:55,33.69,100925,21.5,53
12/22/2022 19:55,33.36,100926,21.5,53
12/22/2022 19:55,33.27,100925,21.5,53
12/22/2022 19:55,33.77,100925,21.5,53
12/22/2022 19:56,33.61,100917,21.5,53
12/22/2022 19:56,33.11,100919,21.5,53
12/22/2022 19:56,33.52,100923,21.4,53
12/22/2022 19:56,33.36,100922,21.4,53
12/22/2022 19:56,33.69,100922,21.4,53
12/22/2022 19:56,33.19,100923,21.4,53
12/22/2022 19:56,33.36,100922,21.4,53
12/22/2022 19:56,33.44,100925,21.4,53
12/22/2022 19:56,33.11,100929,21.4,53
12/22/2022 19:57,33.77,100923,21.5,53
12/22/2022 19:57,33.69,100929,21.5,53
12/22/2022 19:57,33.61,100925,21.5,53
12/22/2022 19:57,32.94,100921,21.5,53
12/22/2022 19:57,33.61,100928,21.5,53
12/22/2022 19:57,33.36,100924,21.5,53
12/22/2022 19:57,33.36,100927,21.5,53
12/22/2022 19:57,33.61,100921,21.5,53
12/22/2022 19:58,33.61,100924,21.5,53
12/22/2022 19:58,33.27,100925,21.5,53
12/22/2022 19:58,33.44,100926,21.5,53
12/22/2022 19:58,33.69,100926,21.5,53
